T34,T58,T172,T160,T161,T12,T147,T113,T162,T173,T48,T281,T102,T124,T22,T318,T780,T258,T123,T11,T183,T305,T270,T23,T199,T317,T233,T9,T781,T344,T282,T293,T159,T60,T206,T100,T348,T343,T148,T197,T35,T170,T269,T111,T112,T241,T21,T193,T345,T213,T45,T59
MEG_3783|Drugs|betalactams|Penicillin_binding_protein|MECA,0,0,0,8.0,0,0,2.0,2.0,0,4.0,0,0,2.0,0,0,2.0,0,2.0,0,0,2.0,0,0,0,0,4.0,0,0,0,8.0,2.0,2.0,4.0,0,0,2.0,0,2.0,0,0,0,4.0,2.0,0,0,0,0,0,0,0,0,2.0
MEG_717|Metals|Arsenic_resistance|Arsenite_oxidase_regulator|AIOX,15.0,4.0,8.0,30.0,14.0,12.0,25.0,12.0,6.0,23.0,8.0,39.0,15.0,7.0,10.0,22.0,6.0,16.0,5.0,2.0,14.0,19.0,32.0,12.0,16.0,18.0,18.0,9.0,0,20.0,20.0,23.0,24.0,10.0,6.0,10.0,4.0,20.0,12.0,4.0,6.0,12.0,43.0,12.0,10.0,12.0,19.0,6.0,17.0,10.0,13.0,6.0
MEG_486|Drugs|betalactams|Class_C_betalactamases|ACT,4.0,2.0,2.0,9.0,4.0,2.0,5.0,2.0,0,8.0,0,6.0,4.0,4.0,2.0,2.0,0,8.0,2.0,0,10.0,2.0,4.0,3.0,0,4.0,2.0,2.0,0,0,4.0,10.0,14.0,0,2.0,2.0,2.0,4.0,2.0,0,2.0,2.0,20.0,2.0,0,0,0,0,2.0,2.0,0,0
MEG_7746|Drugs|betalactams|Class_B_betalactamases|VIM,0,0,0,2.0,0,0,2.0,2.0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0
MEG_5513|Drugs|betalactams|Class_C_betalactamases|PDC,5.0,0,0,2.0,2.0,2.0,4.0,2.0,0,0,0,4.0,4.0,0,0,2.0,0,2.0,2.0,0,0,4.0,4.0,0,0,5.0,0,2.0,0,2.0,0,4.0,2.0,0,0,6.0,0,0,2.0,0,0,0,6.0,2.0,0,2.0,2.0,0,0,2.0,0,0
MEG_1187|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXYZ|RequiresSNPConfirmation,41.0,10.0,25.0,72.0,31.0,29.0,52.0,26.0,22.0,57.0,18.0,67.0,34.0,20.0,29.0,45.0,4.0,29.0,25.0,4.0,41.0,36.0,47.0,25.0,26.0,38.0,20.0,23.0,0,32.0,58.0,56.0,63.0,10.0,12.0,32.0,0,45.0,28.0,10.0,19.0,34.0,88.0,43.0,26.0,18.0,30.0,6.0,35.0,17.0,28.0,21.0
MEG_3338|Drugs|betalactams|Class_B_betalactamases|IMP,0,0,2.0,2.0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,2.0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,2.0,0,4.0,0,0,0
MEG_299|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,2.0,0,0,0,4.0,0,0,0,0,2.0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,2.0,0,0,0,0,4.0,0,0,0,0,0,2.0,0,0,0,4.0,0,2.0,0,2.0,0,0,0,0,2.0
MEG_6499|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILA,53.0,10.0,35.0,76.0,48.0,49.0,81.0,310.0,29.0,80.0,24.0,144.0,44.0,18.0,31.0,43.0,4.0,60.0,59.0,7.0,85.0,100.0,114.0,43.0,24.0,72.0,27.0,35.0,0,60.0,78.0,93.0,187.0,21.0,19.0,34.0,5.0,101.0,76.0,4.0,22.0,47.0,465.0,47.0,35.0,21.0,49.0,20.0,76.0,177.0,33.0,538.0
MEG_1257|Drugs|betalactams|Class_B_betalactamases|BLAB,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1704|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CHR,8.0,2.0,4.0,22.0,10.0,6.0,10.0,2.0,4.0,4.0,2.0,16.0,4.0,4.0,10.0,8.0,0,9.0,6.0,2.0,4.0,4.0,11.0,6.0,4.0,8.0,6.0,6.0,0,6.0,15.0,20.0,13.0,4.0,4.0,6.0,0,8.0,8.0,4.0,6.0,4.0,23.0,6.0,4.0,6.0,6.0,6.0,12.0,2.0,2.0,6.0
