Sample	NumberOfInputReads	Mapped	Unmapped
T780	4921140	744353	4176787
T111	42672786	12831888	29840898
T123	35099975	28063373	7036602
T35	25198894	19537021	5661873
T343	31101752	3626767	27474985
T9	25016070	14242790	10773280
T112	131625059	125362859	6262200
T161	165952671	144566078	21386593
T183	158789644	138666400	20123244
T197	851368	108076	743292
T172	43059659	32557708	10501951
T113	130564701	102793913	27770788
T48	55170461	47630462	7539999
T60	67001447	61493582	5507865
T58	51251952	48472104	2779848
T317	98536320	16947303	81589017
T124	12982662	7419149	5563513
T22	60483233	49199077	11284156
T258	32405224	12160589	20244635
T233	19629109	12018901	7610208
T102	38610066	22936241	15673825
T318	39233757	14105041	25128716
T293	186530124	30023814	156506310
T170	41581812	20329425	21252387
T193	45001916	40222644	4779272
T781	81489	20660	60829
T173	116592995	80492872	36100123
T348	1039104	168234	870870
T147	48787977	14975062	33812915
T159	137377044	55697640	81679404
T305	128410416	19222862	109187554
T12	31932934	14074729	17858205
T270	207008177	34182973	172825204
T59	30739739	10699592	20040147
T100	39556415	18520594	21035821
T160	151498982	23997634	127501348
T281	146519644	51564045	94955599
T34	39715629	9272479	30443150
T148	44204191	32319072	11885119
T162	118338362	111491640	6846722
T206	35102637	32191672	2910965
T23	27155654	15920569	11235085
T282	40045659	14244030	25801629
T345	35569116	12315484	23253632
T21	50445678	39422910	11022768
T213	77805559	61249678	16555881
T11	2628235	1759135	869100
T45	65633726	35784578	29849148
T199	61686242	49753017	11933225
T344	37008746	8643944	28364802
T241	11036851	4683271	6353580
T269	178036614	67320491	110716123
