Sample	NumberOfInputReads	ForwardOnlySurviving	ReverseOnlySurviving	Dropped
T9	12804796	231366	63600	68250
T199	32662086	1155325	716420	298868
T206	17941053	390456	219686	130837
T193	24634137	1430357	1006444	679413
T23	14284745	432500	243171	109372
T34	20419327	284029	96687	239005
T11	1366897	40602	25629	20515
T22	30808590	503163	158437	114451
T348	537846	9794	2984	8871
T48	28276491	568122	204322	216174
T60	35333727	1136857	697215	256157
T147	25421644	674466	390527	412939
T345	18169763	229316	79861	118874
T344	18931267	283639	114237	129028
T35	13118289	285788	100497	284944
T318	19973567	204081	125189	110776
T170	21256163	362220	147017	102214
T59	15642182	216263	93370	63538
T112	67036433	1162866	410275	304260
T161	85102031	1793424	1017907	663466
T269	90643085	1039754	438172	445669
T213	41066425	1294464	790450	308387
T305	67370831	1833983	1099037	289323
T282	20388537	222845	97789	108225
T123	17893140	309474	95528	71477
T270	108959072	3137354	1818495	599849
T781	46217	3612	1356	615
T160	77478341	979835	302291	534297
T343	15929041	192424	80623	166542
T258	16509769	203868	78232	73807
T281	75093689	1024675	294032	606479
T12	16348128	313412	107639	92154
T159	70377167	1328079	475592	321578
T293	98364013	2975211	1676225	538076
T45	34577730	1064492	640045	241624
T124	6823009	226119	147550	102533
T780	2620477	99150	44041	17737
T172	22175140	550534	287295	195704
T58	26186231	504731	153971	175537
T100	20595645	573664	354248	287305
T197	433999	6157	1595	1681
T111	21855518	320304	159787	153311
T162	60392236	1160883	614221	363194
T233	10639394	762576	475994	414781
T113	66515304	1110314	385682	279376
T21	25930348	553591	330975	251147
T183	81206699	1634190	561377	424220
T102	20107766	500522	498949	340454
T317	51668969	1341625	854130	246043
T148	23112926	618941	524858	486753
T173	59590768	1100559	435506	295705
T241	5905896	388575	195917	202331
