"Name","Number of raw reads","Classified reads","Chordate reads","Artificial reads","Unclassified reads","Microbial reads","Bacterial reads","Viral reads","Fungal reads","Protozoan reads"
"T100","10,422,447","7,293,972","0","0","3,128,475","7,293,324","7,286,681","2,001","0","0"
"T102","7,723,327","4,502,804","0","0","3,220,523","4,501,991","4,495,527","1,472","0","0"
"T11","428,045","219,746","0","0","208,299","219,725","219,385","35","0","0"
"T111","14,887,808","7,195,072","0","0","7,692,736","7,191,977","7,166,056","1,346","0","0"
"T112","2,973,385","1,320,103","0","0","1,653,282","1,318,514","1,315,200","420","0","0"
"T113","13,682,926","8,373,498","0","0","5,309,428","8,369,782","8,351,402","1,749","0","0"
"T12","8,897,321","5,709,330","0","0","3,187,991","5,709,041","5,703,180","644","0","0"
"T123","3,466,998","1,928,249","0","0","1,538,749","1,926,871","1,923,116","187","0","0"
"T124","2,747,546","1,473,585","0","0","1,273,961","1,472,937","1,470,956","146","0","0"
"T147","16,817,203","7,897,634","0","0","8,919,569","7,896,420","7,879,399","860","0","0"
"T148","5,828,037","3,175,579","0","0","2,652,458","3,175,001","3,169,694","614","0","0"
"T159","40,673,858","18,560,992","0","0","22,112,866","18,534,207","18,383,375","91,819","0","0"
"T160","63,718,919","47,003,046","0","0","16,715,873","47,001,129","46,951,222","24,398","0","0"
"T161","10,345,315","6,052,117","0","0","4,293,198","6,051,267","6,045,393","871","0","0"
"T162","3,230,068","1,698,057","0","0","1,532,011","1,697,473","1,694,889","261","0","0"
"T170","10,577,361","6,522,522","0","0","4,054,839","6,521,262","6,503,987","11,557","0","0"
"T172","5,153,279","1,937,546","0","0","3,215,733","1,936,952","1,930,263","529","0","0"
"T173","17,827,275","7,968,642","0","0","9,858,633","7,962,726","7,945,618","1,254","0","0"
"T183","9,796,301","3,425,111","0","0","6,371,190","3,421,822","3,409,195","1,028","0","0"
"T193","2,147,182","753,439","0","0","1,393,743","750,833","749,142","325","0","0"
"T197","371,413","218,406","0","0","153,007","218,396","218,136","17","0","0"
"T199","5,717,025","1,910,918","0","0","3,806,107","1,910,315","1,903,570","695","0","0"
"T206","1,388,229","687,736","0","0","700,493","687,550","686,445","118","0","0"
"T21","5,408,821","2,245,759","0","0","3,163,062","2,244,242","2,236,502","1,042","0","0"
"T213","8,085,374","3,378,978","0","0","4,706,396","3,377,511","3,363,702","527","0","0"
"T22","5,558,685","2,862,410","0","0","2,696,275","2,861,524","2,854,042","400","0","0"
"T23","5,541,812","3,554,772","0","0","1,987,040","3,554,300","3,550,474","538","0","0"
"T233","3,691,276","1,183,641","0","0","2,507,635","1,182,389","1,174,222","4,162","0","0"
"T241","3,080,832","1,289,830","0","0","1,791,002","1,289,516","1,287,620","617","0","0"
"T258","10,108,841","2,935,460","0","0","7,173,381","2,934,104","2,917,325","2,359","0","0"
"T269","55,273,570","17,110,816","0","0","38,162,754","17,096,727","16,978,107","14,774","0","0"
"T270","86,341,983","32,988,345","0","0","53,353,638","32,982,228","32,873,571","38,019","0","0"
"T281","47,444,268","15,168,277","0","0","32,275,991","15,164,934","15,062,684","15,539","0","0"
"T282","12,883,197","3,831,517","0","0","9,051,680","3,830,215","3,810,549","3,883","0","0"
"T293","78,188,977","30,100,410","0","0","48,088,567","30,095,691","29,987,269","39,887","0","0"
"T305","54,554,482","21,203,425","0","0","33,351,057","21,199,645","21,136,169","17,406","0","0"
"T317","40,765,038","15,815,469","0","0","24,949,569","15,812,694","15,762,026","16,092","0","0"
"T318","12,543,195","3,966,207","0","0","8,576,988","3,964,537","3,938,316","2,679","0","0"
"T34","15,204,212","8,771,248","0","0","6,432,964","8,770,379","8,753,306","2,035","0","0"
"T343","13,721,495","4,148,714","0","0","9,572,781","4,146,753","4,113,728","5,047","0","0"
"T344","14,155,968","4,809,259","0","0","9,346,709","4,807,804","4,771,429","7,969","0","0"
"T345","11,615,453","3,732,341","0","0","7,883,112","3,731,265","3,708,430","4,609","0","0"
"T348","434,740","250,261","0","0","184,479","250,252","249,868","32","0","0"
"T35","2,793,218","1,426,842","0","0","1,366,376","1,426,256","1,423,043","333","0","0"
"T45","14,631,101","4,646,463","0","0","9,984,638","4,644,640","4,633,412","4,014","0","0"
"T48","3,679,911","2,067,651","0","0","1,612,260","2,067,451","2,064,639","186","0","0"
"T58","1,320,352","593,897","0","0","726,455","593,781","592,439","127","0","0"
"T59","9,990,567","5,383,749","0","0","4,606,818","5,371,419","5,356,721","679","0","0"
"T60","2,563,933","1,042,776","0","0","1,521,157","1,041,872","1,039,525","487","0","0"
"T780","2,087,353","2,054,169","0","0","33,184","2,043,331","2,043,242","26","0","0"
"T781","30,289","11,433","0","0","18,856","11,428","11,404","7","0","0"
"T9","5,360,323","3,130,511","0","0","2,229,812","3,130,291","3,124,643","1,150","0","0"
