Project_ID,Sample_Type,Animal_ID,Timepoint,Treatment
T348,sock,Control_Sock,NA,NC
T188,DNA (-),DNA (-),NA,DNA_NC
T247,DNA (-),DNA (-),NA,DNA_NC
T341,DNA (-),DNA (-),NA,DNA_NC
T347,DNA (-),DNA (-),NA,DNA_NC
T94,DNA (-),DNA (-),NA,DNA_NC
T187,DNA (+),DNA (+),NA,DNA_PC
T246,DNA (+),DNA (+),NA,DNA_PC
T340,DNA (+),DNA (+),NA,DNA_PC
T346,DNA (+),DNA (+),NA,DNA_PC
T93,DNA (+),DNA (+),NA,DNA_PC
T200,sock,P1_0924,D108,Control
T248,sock,P1_0925,D109,Control
T251,sock,P1_0926,D110,Control
T254,sock,P1_0927,D111,Control
T269,sock,P1_0928,D112,Control
T208,sock,P10_0924,D108,Probiotic
T261,sock,P10_0925,D109,Probiotic
T264,sock,P10_0926,D110,Probiotic
T267,sock,P10_0927,D111,Probiotic
T294,sock,P10_0928,D112,Probiotic
T126,cloaca,P10T13,D113,Probiotic
T167,ileum,P10T13,D113,Probiotic
T7,ceca,P10T13,D113,Probiotic
T211,ceca,P10T14,D113,Probiotic
T47,cloaca,P10T14,D113,Probiotic
T88,ileum,P10T14,D113,Probiotic
T105,ceca,P10T15,D113,Probiotic
T125,cloaca,P10T15,D113,Probiotic
T28,ileum,P10T15,D113,Probiotic
T215,sock,P11_0924,D108,Control
T273,sock,P11_0925,D109,Control
T276,sock,P11_0926,D110,Control
T279,sock,P11_0927,D111,Control
T306,sock,P11_0928,D112,Control
T134,ileum,P11T16,D113,Control
T149,cloaca,P11T16,D113,Control
T42,ceca,P11T16,D113,Control
T120,ileum,P11T17,D113,Control
T205,ceca,P11T17,D113,Control
T84,cloaca,P11T17,D113,Control
T108,ileum,P11T18,D113,Control
T178,ceca,P11T18,D113,Control
T227,cloaca,P11T18,D113,Control
T222,sock,P12_0924,D108,Probiotic
T285,sock,P12_0925,D109,Probiotic
T288,sock,P12_0926,D110,Probiotic
T291,sock,P12_0927,D111,Probiotic
T318,sock,P12_0928,D112,Probiotic
T25,ileum,P12T16,D113,Probiotic
T59,cloaca,P12T16,D113,Probiotic
T68,ceca,P12T16,D113,Probiotic
T139,ceca,P12T17,D113,Probiotic
T172,cloaca,P12T17,D113,Probiotic
T63,ileum,P12T17,D113,Probiotic
T123,cloaca,P12T18,D113,Probiotic
T156,ileum,P12T18,D113,Probiotic
T218,ceca,P12T18,D113,Probiotic
T229,sock,P13_0924,D108,Control
T297,sock,P13_0925,D109,Control
T300,sock,P13_0926,D110,Control
T303,sock,P13_0927,D111,Control
T330,sock,P13_0928,D112,Control
T127,ceca,P13T19,D113,Control
T150,cloaca,P13T19,D113,Control
T203,ileum,P13T19,D113,Control
T157,ileum,P13T20,D113,Control
T41,ceca,P13T20,D113,Control
T81,cloaca,P13T20,D113,Control
T210,ileum,P13T21,D113,Control
T30,ceca,P13T21,D113,Control
T69,cloaca,P13T21,D113,Control
T236,sock,P14_0924,D108,Probiotic
T309,sock,P14_0925,D109,Probiotic
T312,sock,P14_0926,D110,Probiotic
T315,sock,P14_0927,D111,Probiotic
T259,sock,P14_0928,D112,Probiotic
T232,ceca,P14T19,D113,Probiotic
T62,ileum,P14T19,D113,Probiotic
T70,cloaca,P14T19,D113,Probiotic
T176,ceca,P14T20,D113,Probiotic
T46,cloaca,P14T20,D113,Probiotic
T50,ileum,P14T20,D113,Probiotic
T129,ceca,P14T21,D113,Probiotic
T231,ileum,P14T21,D113,Probiotic
T71,cloaca,P14T21,D113,Probiotic
T243,sock,P15_0924,D108,Control
T321,sock,P15_0925,D109,Control
T324,sock,P15_0926,D110,Control
T327,sock,P15_0927,D111,Control
T271,sock,P15_0928,D112,Control
T146,ileum,P15T22,D113,Control
T24,cloaca,P15T22,D113,Control
T65,ceca,P15T22,D113,Control
T10,cloaca,P15T23,D113,Control
T179,ileum,P15T23,D113,Control
T32,ceca,P15T23,D113,Control
T27,ileum,P15T24,D113,Control
T29,ceca,P15T24,D113,Control
T36,cloaca,P15T24,D113,Control
T195,sock,P16_0924,D108,Probiotic
T333,sock,P16_0925,D109,Probiotic
T336,sock,P16_0926,D110,Probiotic
T339,sock,P16_0927,D111,Probiotic
T283,sock,P16_0928,D112,Probiotic
T155,ileum,P16T22,D113,Probiotic
T5,ceca,P16T22,D113,Probiotic
T99,cloaca,P16T22,D113,Probiotic
T130,ceca,P16T23,D113,Probiotic
T3,ileum,P16T23,D113,Probiotic
T82,cloaca,P16T23,D113,Probiotic
T135,cloaca,P16T24,D113,Probiotic
T18,ceca,P16T24,D113,Probiotic
T180,ileum,P16T24,D113,Probiotic
T202,sock,P17_0924,D108,Control
T250,sock,P17_0925,D109,Control
T253,sock,P17_0926,D110,Control
T256,sock,P17_0927,D111,Control
T295,sock,P17_0928,D112,Control
T234,cloaca,P17T25,D113,Control
T74,ileum,P17T25,D113,Control
T8,ceca,P17T25,D113,Control
T175,ceca,P17T26,D113,Control
T72,cloaca,P17T26,D113,Control
T87,ileum,P17T26,D113,Control
T136,cloaca,P17T27,D113,Control
T54,ceca,P17T27,D113,Control
T96,ileum,P17T27,D113,Control
T209,sock,P18_0924,D108,Probiotic
T262,sock,P18_0925,D109,Probiotic
T265,sock,P18_0926,D110,Probiotic
T268,sock,P18_0927,D111,Probiotic
T307,sock,P18_0928,D112,Probiotic
T17,ceca,P18T25,D113,Probiotic
T192,cloaca,P18T25,D113,Probiotic
T37,ileum,P18T25,D113,Probiotic
T40,ileum,P18T26,D113,Probiotic
T6,ceca,P18T26,D113,Probiotic
T83,cloaca,P18T26,D113,Probiotic
T114,cloaca,P18T27,D113,Probiotic
