"pattern"	"genecount"	"genelen"	"nhits"	"sample"
"1"	"Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT"	2	151	54085	"T9"
"2"	"Biocides|Acid_resistance|Acid_resistance_protein|GADA"	4	157	54085	"T9"
"3"	"Biocides|Acid_resistance|Acid_resistance_protein|GADB"	2	157	54085	"T9"
"4"	"Biocides|Acid_resistance|Acid_resistance_protein|GADC"	2	219	54085	"T9"
"5"	"Biocides|Acid_resistance|Acid_resistance_regulator|EVGA"	3	193	54085	"T9"
"6"	"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMRA"	28	152	54085	"T9"
"7"	"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|YJCG"	1	156	54085	"T9"
"8"	"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS"	2	238	54085	"T9"
"9"	"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB"	2	267	54085	"T9"
"10"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHB"	4	159	54085	"T9"
"11"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXW"	40	153	54085	"T9"
"12"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM"	1	220	54085	"T9"
"13"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|SRPB"	10	177	54085	"T9"
"14"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTB"	32	156	54085	"T9"
"15"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TTGE"	9	156	54085	"T9"
"16"	"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA"	2	180	54085	"T9"
"17"	"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB"	3	174	54085	"T9"
"18"	"Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA"	1	271	54085	"T9"
"19"	"Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI"	1	227	54085	"T9"
"20"	"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIC"	13	161	54085	"T9"
"21"	"Drugs|Aminocoumarins|Aminocoumarin_efflux_pump|NOVA"	5	201	54085	"T9"
"22"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	51	155	54085	"T9"
"23"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation"	75	159	54085	"T9"
"24"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARY"	31	159	54085	"T9"
"25"	"Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE"	1	282	54085	"T9"
"26"	"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3"	87	153	54085	"T9"
"27"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME"	8	204	54085	"T9"
"28"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6"	83	154	54085	"T9"
"29"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9"	10	159	54085	"T9"
"30"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME"	44	154	54085	"T9"
"31"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME"	127	154	54085	"T9"
"32"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6"	8	217	54085	"T9"
"33"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	12957	150	54085	"T9"
"34"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RPSL|RequiresSNPConfirmation"	1	228	54085	"T9"
"35"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	1327	150	54085	"T9"
"36"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	1111	150	54085	"T9"
"37"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation"	1110	150	54085	"T9"
"38"	"Drugs|betalactams|Class_A_betalactamases|BKC"	1	209	54085	"T9"
"39"	"Drugs|betalactams|Class_A_betalactamases|CARB"	1	204	54085	"T9"
"40"	"Drugs|betalactams|Class_A_betalactamases|CEPA"	35	162	54085	"T9"
"41"	"Drugs|betalactams|Class_A_betalactamases|GES"	34	157	54085	"T9"
"42"	"Drugs|betalactams|Class_A_betalactamases|PENA"	3	196	54085	"T9"
"43"	"Drugs|betalactams|Class_A_betalactamases|TEM"	2	155	54085	"T9"
"44"	"Drugs|betalactams|Class_A_betalactamases|VEB"	1	176	54085	"T9"
"45"	"Drugs|betalactams|Class_B_betalactamases|BJP1"	18	173	54085	"T9"
"46"	"Drugs|betalactams|Class_B_betalactamases|CAU"	2	213	54085	"T9"
"47"	"Drugs|betalactams|Class_C_betalactamases|FOX"	2	269	54085	"T9"
"48"	"Drugs|betalactams|Class_C_betalactamases|OCH"	9	226	54085	"T9"
"49"	"Drugs|betalactams|Class_C_betalactamases|PDC"	18	201	54085	"T9"
"50"	"Drugs|betalactams|Class_D_betalactamases|OXA"	17	151	54085	"T9"
"51"	"Drugs|betalactams|Mutant_porin_proteins|OMPR"	21	154	54085	"T9"
"52"	"Drugs|betalactams|Penicillin_binding_protein|AMPH"	1	165	54085	"T9"
"53"	"Drugs|betalactams|Penicillin_binding_protein|PBP2"	1	210	54085	"T9"
"54"	"Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation"	1111	150	54085	"T9"
"55"	"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA"	1	161	54085	"T9"
"56"	"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD"	1	198	54085	"T9"
"57"	"Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation"	496	150	54085	"T9"
"58"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation"	195	152	54085	"T9"
"59"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation"	19	157	54085	"T9"
